egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191538639,1004,1060,1271,3111,Oberegg,AI,POINT (2763771.14 1255930.858)
191538640,1004,1060,1242,3111,Oberegg,AI,POINT (2763729.415 1255987.759)
191538641,1004,1060,1271,3111,Oberegg,AI,POINT (2761618.771 1254934.394)
191538642,1004,1060,1271,3111,Oberegg,AI,POINT (2763731.216 1255924.075)
191538643,1004,1060,1271,3111,Oberegg,AI,POINT (2762766.898 1255518.025)
191538644,1004,1060,1252,3111,Oberegg,AI,POINT (2762740.84 1255597.559)
191538645,1004,1060,1271,3111,Oberegg,AI,POINT (2761454.464 1255496.501)
191538646,1004,1060,1271,3111,Oberegg,AI,POINT (2761481.414 1255526.391)
191538647,1004,1060,1242,3111,Oberegg,AI,POINT (2762173.023 1255605.924)
191538648,1004,1060,1271,3111,Oberegg,AI,POINT (2761832.527 1254955.782)
191538649,1004,1060,1271,3111,Oberegg,AI,POINT (2761867.837 1255138.233)
191538650,1004,1060,1271,3111,Oberegg,AI,POINT (2760601.251 1255963.88)
191538651,1004,1060,1271,3111,Oberegg,AI,POINT (2761226.404 1255849.398)
191538652,1004,1060,1242,3111,Oberegg,AI,POINT (2761233.158 1255327.33)
191538653,1004,1060,1242,3111,Oberegg,AI,POINT (2762002.68 1254284.938)
191538654,1004,1060,1271,3111,Oberegg,AI,POINT (2763102.375 1253725.944)
191538655,1004,1060,1271,3111,Oberegg,AI,POINT (2760852.292 1255862.403)
191538656,1004,1060,1271,3111,Oberegg,AI,POINT (2762651.195 1254004.989)
191538657,1004,1060,1271,3111,Oberegg,AI,POINT (2762526.733 1253554.421)
191538658,1004,1060,1242,3111,Oberegg,AI,POINT (2759700.815 1254330.572)
191538659,1004,1060,1271,3111,Oberegg,AI,POINT (2758244.53 1253283.224)
191538660,1007,1060,1271,3111,Oberegg,AI,POINT (2757663.477 1254053.584)
191538661,1004,1060,1271,3111,Oberegg,AI,POINT (2762612.233 1253724.088)
191538662,1007,1060,1242,3111,Oberegg,AI,POINT (2761981.708 1254249.875)
191538663,1004,1060,1271,3111,Oberegg,AI,POINT (2759231.722 1253598.374)
191538664,1004,1060,1242,3111,Oberegg,AI,POINT (2759591.008 1254514.492)
191538665,1007,1060,1242,3111,Oberegg,AI,POINT (2758992.256 1254117.402)
191538666,1004,1060,1242,3111,Oberegg,AI,POINT (2758836.941 1254215.44)
191538667,1004,1060,1271,3111,Oberegg,AI,POINT (2757507.5 1253429.832)
191538668,1004,1060,1271,3111,Oberegg,AI,POINT (2758477.535 1253946.186)
191538669,1004,1060,1242,3111,Oberegg,AI,POINT (2761965.863 1255537.471)
191538670,1004,1060,1242,3111,Oberegg,AI,POINT (2762266.991 1255687.181)
191538671,1004,1060,1271,3111,Oberegg,AI,POINT (2760157.62 1253245.936)
191538672,1004,1060,1271,3111,Oberegg,AI,POINT (2758451.971 1253629.402)
191538673,1004,1060,1271,3111,Oberegg,AI,POINT (2758745.116 1255080.127)
191538674,1004,1060,1271,3111,Oberegg,AI,POINT (2763149.642 1253721.664)
191538675,1004,1060,1242,3111,Oberegg,AI,POINT (2760503.211 1255784.296)
191538676,1004,1060,1242,3111,Oberegg,AI,POINT (2758554.137 1253252.424)
191538677,1004,1060,1271,3111,Oberegg,AI,POINT (2761999.542 1254446.189)
191538678,1004,1060,1271,3111,Oberegg,AI,POINT (2759235.783 1254990.57)
191538679,1004,1060,1271,3111,Oberegg,AI,POINT (2758689.296 1254354.22)
191538680,1004,1060,1271,3111,Oberegg,AI,POINT (2759743.02 1253807.372)
191538681,1004,1060,1242,3111,Oberegg,AI,POINT (2761876.031 1253974.297)
191538682,1004,1060,1242,3111,Oberegg,AI,POINT (2759868.932 1253470.905)
191538683,1004,1060,1271,3111,Oberegg,AI,POINT (2762071.604 1255879.966)
191538684,1004,1060,1242,3111,Oberegg,AI,POINT (2758944.236 1255289.627)
191538685,1004,1060,1271,3111,Oberegg,AI,POINT (2761899.906 1253952.184)
191538686,1004,1060,1271,3111,Oberegg,AI,POINT (2759300.062 1254309.732)
191538687,1004,1060,1242,3111,Oberegg,AI,POINT (2758932.546 1255346.747)
191538688,1004,1060,1271,3111,Oberegg,AI,POINT (2761868.021 1255284.097)
191538689,1004,1060,1242,3111,Oberegg,AI,POINT (2758930.424 1255352.883)
